(PDH-CSV 4.0) (UTC)(0),\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(0)\% Processor Time,\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(1)\% Processor Time,\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(0)\% Util Time,\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(1)\% Util Time,\\proma-2n-dhcp60.eng.vmware.com\Memory\Kernel MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\NonKernel MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\Kernel State,\\proma-2n-dhcp60.eng.vmware.com\Memory\PShare Shared MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\Swap Target MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\Swap MBytes Read/sec,\\proma-2n-dhcp60.eng.vmware.com\Memory\Swap MBytes Write/sec
3/26/2015 22:47,24.06,43.97,24.38,44.03,1088,1742,0,118,0,0,0
3/26/2015 22:47,14.29,14.94,14.47,15.85,1088,1742,0,118,0,0,0
3/26/2015 22:47,16.94,40.04,17.15,39.45,1086,1742,0,118,0,0,0
3/26/2015 22:47,23.23,42.2,23.48,42.39,1087,1742,0,118,0,0,0
3/26/2015 22:47,10.18,22.09,10.45,22.76,1087,1742,0,118,0,0,0
3/26/2015 22:47,28.38,20.35,28.59,20.16,1087,1742,0,118,0,0,0
3/26/2015 22:48,24.14,45.95,24.31,46.15,1087,1742,0,118,0,0,0
3/26/2015 22:48,24.75,7.8,25.47,8.01,1090,1747,0,118,0,0,0
3/26/2015 22:48,37.44,19.25,37.09,19.49,1087,1742,0,118,0,0,0
3/26/2015 22:48,49,15.49,49.09,15.31,1087,1742,0,118,0,0,0
3/26/2015 22:48,38.33,5.62,39.38,5.93,1087,1742,0,118,0,0,0
3/26/2015 22:48,24.23,16.44,23.52,16.8,1086,1742,0,118,0,0,0
3/26/2015 22:48,6.53,57.7,6.7,57.81,1087,1742,0,118,0,0,0
3/26/2015 22:48,37.07,22.98,37.25,23.21,1087,1742,0,118,0,0,0
3/26/2015 22:48,16.44,12.89,16.68,13.06,1087,1742,0,118,0,0,0
3/26/2015 22:48,20.97,37.05,21,37.05,1087,1742,0,118,0,0,0
3/26/2015 22:48,55.47,12.24,55.59,12.45,1086,1742,0,118,0,0,0
3/26/2015 22:49,26.83,12.39,26.97,12.76,1087,1742,0,118,0,0,0
3/26/2015 22:49,33.89,14.03,34.04,14.12,1090,1744,0,118,0,0,0
3/26/2015 22:49,7.8,61.08,8.09,61.18,1087,1742,0,118,0,0,0
3/26/2015 22:49,19.24,31.83,20.03,31.97,1087,1743,0,118,0,0,0
3/26/2015 22:49,16.87,12.05,16.36,12.24,1087,1743,0,118,0,0,0
3/26/2015 22:49,47.9,15.93,48.1,15.95,1087,1743,0,118,0,0,0
3/26/2015 22:49,42.24,29.69,42.34,30.14,1087,1743,0,118,0,0,0
3/26/2015 22:49,10.81,13.3,11,13.08,1087,1743,0,118,0,0,0
3/26/2015 22:49,21.4,38.84,21.57,38.88,1087,1743,0,118,0,0,0
3/26/2015 22:49,35.13,33.51,35.23,33.63,1087,1743,0,118,0,0,0
3/26/2015 22:49,15.33,18.65,15.58,19.01,1087,1743,0,118,0,0,0
3/26/2015 22:50,31.91,14.27,32.1,14.16,1087,1743,0,118,0,0,0
3/26/2015 22:50,48.09,47.87,48.29,48.02,1089,1745,0,118,0,0,0
3/26/2015 22:50,11.97,38.64,12.09,39.09,1087,1743,0,118,0,0,0
3/26/2015 22:50,12.29,20.9,12.47,20.98,1086,1743,0,118,0,0,0
3/26/2015 22:50,28.12,37.31,28.42,37.39,1087,1743,0,118,0,0,0
3/26/2015 22:50,25.76,38.68,26.02,38.86,1087,1743,0,118,0,0,0
3/26/2015 22:50,11.83,18.49,12.11,18.71,1087,1743,0,118,0,0,0
3/26/2015 22:50,34.47,19.64,34.7,20.11,1087,1743,0,118,0,0,0
3/26/2015 22:50,35.02,30.42,35.16,30.59,1087,1743,0,118,0,0,0
3/26/2015 22:50,15.57,29.74,15.62,30.01,1086,1743,0,118,0,0,0
3/26/2015 22:50,12.41,24.86,12.61,25.09,1087,1743,0,118,0,0,0
3/26/2015 22:51,12.97,55.78,13.31,55.95,1087,1743,0,118,0,0,0
3/26/2015 22:51,50.72,19.23,50.96,19.24,1088,1744,0,118,0,0,0
3/26/2015 22:51,12.09,14.38,12.2,14.98,1087,1743,0,118,0,0,0
3/26/2015 22:51,27.8,34.72,28.05,34.49,1086,1743,0,118,0,0,0
3/26/2015 22:51,14.87,56,14.92,56.17,1087,1743,0,118,0,0,0
3/26/2015 22:51,12.95,19.39,13.12,20.95,1087,1743,0,118,0,0,0
3/26/2015 22:51,31.1,24.91,31.32,24,1087,1743,0,118,0,0,0
3/26/2015 22:51,40.45,24.39,40.66,24.47,1087,1743,0,118,0,0,0
3/26/2015 22:51,37.54,11.13,38.71,11.35,1087,1743,0,118,0,0,0
3/26/2015 22:51,20.48,16.15,19.6,16.27,1087,1743,0,118,0,0,0
3/26/2015 22:51,49.79,13.87,49.93,14.38,1087,1743,0,118,0,0,0
3/26/2015 22:52,12.54,54.38,12.75,54.5,1087,1743,0,118,0,0,0
3/26/2015 22:52,11.94,10.28,12.98,10.65,1087,1743,0,118,0,0,0
3/26/2015 22:52,28.53,39.22,27.9,39.36,1087,1743,0,118,0,0,0
3/26/2015 22:52,38.77,25.4,39,25.57,1087,1743,0,118,0,0,0
3/26/2015 22:52,5.91,36.85,6.17,37.47,1087,1742,0,118,0,0,0
3/26/2015 22:52,24.15,18.62,24.34,18.37,1087,1742,0,118,0,0,0
3/26/2015 22:52,8.31,58.87,8.58,58.95,1087,1743,0,118,0,0,0
3/26/2015 22:52,48.57,14.1,48.83,14.34,1087,1742,0,118,0,0,0
3/26/2015 22:52,12.99,10.46,13.72,10.61,1087,1742,0,118,0,0,0
